Feature,Importance
num_col__Credit_History,0.6238643522417172
num_col__LoanAmount,0.09028390510328667
num_col__CoapplicantIncome,0.0743663398119206
num_col__ApplicantIncome,0.0705385765979587
num_col__Loan_Amount_Term,0.05539220289424527
cat_col__Property_Area_Semiurban,0.02839372496339976
cat_col__Property_Area_Rural,0.016208611114390186
cat_col__Married_No,0.010487831621366166
cat_col__Married_Yes,0.008702188044543053
cat_col__Dependents_1,0.006895998996687445
cat_col__Self_Employed_No,0.0035106530145352184
cat_col__Self_Employed_Yes,0.002583109983797886
cat_col__Dependents_0,0.0023519003757640233
cat_col__Dependents_3+,0.001394471015722039
cat_col__Gender_Male,0.0011071899481157365
cat_col__Property_Area_Urban,0.0010165181479801192
cat_col__Dependents_2,0.0008555395874810707
cat_col__Education_Not Graduate,0.000823955719786454
cat_col__Education_Graduate,0.0007655165715554241
cat_col__Gender_Female,0.000457414245746987
